Code,Disease,Symptoms
36,Eating disorder,"['Depression', 'Anxiety and nervousness', 'Depressive or psychotic symptoms', 'Decreased appetite', 'Abusing alcohol', 'Excessive appetite', 'Difficulty eating', 'Weight gain', 'Excessive anger', 'Insomnia', 'Vomiting blood', 'Acne or pimples']"
37,Transient ischemic attack,"['Loss of sensation', 'Dizziness', 'Headache', 'Weakness', 'Focal weakness', 'Slurring words', 'Difficulty speaking', 'Depressive or psychotic symptoms', 'Diminished vision', 'Disturbance of memory', 'Paresthesia']"
38,Pyelonephritis,"['Side pain', 'Fever', 'Sharp abdominal pain', 'Back pain', 'Vomiting', 'Nausea', 'Painful urination', 'Low back pain', 'Lower abdominal pain', 'Blood in urine', 'Suprapubic pain', 'Frequent urination']"
39,Rotator cuff injury,"['Shoulder pain', 'Arm pain', 'Shoulder stiffness or tightness', 'Shoulder weakness', 'Arm cramps or spasms', 'Arm stiffness or tightness', 'Neck stiffness or tightness', 'Hand or finger stiffness or tightness', 'Shoulder swelling', 'Leg cramps or spasms']"
42,Liver cancer,"['Sharp abdominal pain', 'Upper abdominal pain', 'Stomach bloating', 'Changes in stool appearance', 'Decreased appetite', 'Unusual color or odor to urine', 'Increased heart rate', 'Kidney mass', 'Swollen abdomen', 'Leg stiffness or tightness', 'Groin mass']"
43,Atelectasis,"['Cough', 'Shortness of breath', 'Sharp chest pain', 'Fever', 'Nasal congestion', 'Dizziness', 'Sore throat', 'Sharp abdominal pain', 'Difficulty breathing', 'Rib pain', 'Ache all over', 'Headache']"
45,Choledocholithiasis,"['Sharp abdominal pain', 'Upper abdominal pain', 'Vomiting', 'Nausea', 'Sharp chest pain', 'Back pain', 'Diarrhea', 'Jaundice', 'Side pain', 'Chills', 'Unusual color or odor to urine', 'Decreased appetite']"
47,Cirrhosis,"['Sharp abdominal pain', 'Shortness of breath', 'Peripheral edema', 'Fatigue', 'Upper abdominal pain', 'Abdominal distention', 'Stomach bloating', 'Blood in stool', 'Regurgitation', 'Vomiting blood', 'Melena']"
48,Thoracic aortic aneurysm,"['Sharp chest pain', 'Dizziness', 'Back pain', 'Shortness of breath', 'Sharp abdominal pain', 'Fatigue', 'Chest tightness', 'Unusual color or odor to urine', 'Flushing', 'Leg cramps or spasms', 'Coughing up sputum', 'Jaundice']"
49,Subdural hemorrhage,"['Headache', 'Dizziness', 'Problems with movement', 'Depressive or psychotic symptoms', 'Seizures', 'Vomiting', 'Facial pain', 'Disturbance of memory', 'Irritable infant', 'Abnormal movement of eyelid', 'Hostile behavior', 'Delusions or hallucinations']"
51,Diabetic retinopathy,"['Diminished vision', 'Spots or clouds in vision', 'Pain in eye', 'Lacrimation', 'Eye redness', 'Foreign body sensation in eye', 'Itchiness of eye', 'Blindness', 'Bleeding from eye', 'Abnormal movement of eyelid', 'Double vision']"
52,Fibromyalgia,"['Back pain', 'Ache all over', 'Neck pain', 'Muscle pain', 'Leg pain', 'Headache', 'Shoulder pain', 'Low back pain', 'Sharp chest pain', 'Arm pain', 'Hip pain', 'Fatigue']"
53,Ischemia of the bowel,"['Sharp abdominal pain', 'Vomiting', 'Diarrhea', 'Nausea', 'Rectal bleeding', 'Blood in stool', 'Lower abdominal pain', 'Constipation', 'Melena', 'Burning abdominal pain', 'Chills', 'Retention of urine']"
54,Fetal alcohol syndrome,"['Excessive anger', 'Temper problems', 'Lack of growth', 'Eye redness', 'Depressive or psychotic symptoms', 'Hostile behavior', 'Seizures', 'Coryza', 'Wrist weakness', 'Eye strain']"
55,Peritonitis,"['Sharp abdominal pain', 'Nausea', 'Vomiting', 'Back pain', 'Fever', 'Shortness of breath', 'Lower abdominal pain', 'Upper abdominal pain', 'Side pain', 'Groin mass', 'Intermenstrual bleeding', 'Groin pain']"
57,Acute pancreatitis,"['Sharp abdominal pain', 'Vomiting', 'Nausea', 'Upper abdominal pain', 'Diarrhea', 'Sharp chest pain', 'Burning abdominal pain', 'Back pain', 'Side pain', 'Abusing alcohol', 'Lower body pain', 'Hemoptysis']"
58,Thrombophlebitis,"['Leg pain', 'Leg swelling', 'Arm pain', 'Abnormal appearing skin', 'Arm swelling', 'Foot or toe pain', 'Ache all over', 'Lymphedema', 'Skin on leg or foot looks infected', 'Skin swelling', 'Leg cramps or spasms', 'Hand or finger swelling']"
59,Asthma,"['Cough', 'Shortness of breath', 'Wheezing', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Sharp chest pain', 'Coryza', 'Chest tightness', 'Allergic reaction', 'Coughing up sputum', 'Congestion in chest']"
60,Foreign body in the vagina,"['Vaginal discharge', 'Pelvic pain', 'Painful urination', 'Lower abdominal pain', 'Skin lesion', 'Back weakness', 'Pus in sputum', 'Emotional symptoms', 'Muscle swelling', 'Pus in urine', 'Low back weakness']"
61,Restless leg syndrome,"['Abnormal involuntary movements', 'Leg pain', 'Headache', 'Sleepiness', 'Apnea', 'Fatigue', 'Abnormal breathing sounds', 'Depression', 'Back pain', 'Difficulty breathing', 'Loss of sensation', 'Insomnia']"
62,Emphysema,"['Sharp chest pain', 'Shortness of breath', 'Chest tightness', 'Cough', 'Nausea', 'Ache all over', 'Back pain', 'Cross-eyed', 'Itchy eyelid', 'Excessive growth', 'Emotional symptoms', 'Elbow cramps or spasms']"
63,Cysticercosis,"['Seizures', 'Headache', 'Vomiting', 'Shortness of breath', 'Abnormal involuntary movements', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth', 'Underweight', 'Low back weakness', 'Wrist weakness', 'Feeling hot and cold']"
65,Teething syndrome,"['Fever', 'Pulling at ears', 'Cough', 'Irritable infant', 'Nasal congestion', 'Diarrhea', 'Ear pain', 'Gum pain', 'Temper problems', 'Redness in ear', 'Decreased appetite']"
66,Infectious gastroenteritis,"['Vomiting', 'Diarrhea', 'Nausea', 'Sharp abdominal pain', 'Fever', 'Burning abdominal pain', 'Headache', 'Blood in stool', 'Decreased appetite', 'Chills', 'Fluid retention', 'Flu-like syndrome']"
67,Acute sinusitis,"['Cough', 'Nasal congestion', 'Sore throat', 'Headache', 'Frontal headache', 'Coryza', 'Fever', 'Ear pain', 'Sinus congestion', 'Painful sinuses', 'Facial pain', 'Coughing up sputum']"
68,Von Hippel-Lindau disease,"['Seizures', 'Upper abdominal pain', 'Excessive growth', 'Abnormal appearing skin', 'Headache', 'Blood in urine', 'Paresthesia', 'Diminished vision', 'Knee pain', 'Fatigue', 'Nausea', 'Kidney mass']"
69,Substance use disorder,"['Depressive or psychotic symptoms', 'Delusions or hallucinations', 'Depression', 'Anxiety and nervousness', 'Drug abuse', 'Abusing alcohol', 'Insomnia', 'Feeling ill', 'Excessive anger', 'Problems with movement', 'Hostile behavior', 'Fears and phobias']"
70,Postpartum depression,"['Depression', 'Recent pregnancy', 'Problems during pregnancy', 'Anxiety and nervousness', 'Pain during pregnancy', 'Depressive or psychotic symptoms', 'Drug abuse', 'Spotting or bleeding during pregnancy', 'Uterine contractions', 'Delusions or hallucinations', 'Intermenstrual bleeding', 'Excessive anger']"
71,Coronary atherosclerosis,"['Sharp chest pain', 'Shortness of breath', 'Fatigue', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Lymphedema', 'Leg cramps or spasms', 'Burning chest pain']"
72,Spondylitis,"['Back pain', 'Low back pain', 'Leg pain', 'Neck pain', 'Hip pain', 'Side pain', 'Back cramps or spasms', 'Lower body pain', 'Stiffness all over', 'Muscle cramps, contractures, or spasms', 'Low back cramps or spasms', 'Back mass or lump']"
73,Pituitary adenoma,"['Headache', 'Loss of sensation', 'Diminished vision', 'Knee pain', 'Nausea', 'Disturbance of memory', 'Coryza', 'Weight gain', 'Pain in eye', 'Nosebleed', 'Long menstrual periods', 'Muscle swelling']"
74,Uterine fibroids,"['Sharp abdominal pain', 'Pelvic pain', 'Heavy menstrual flow', 'Lower abdominal pain', 'Unpredictable menstruation', 'Painful menstruation', 'Intermenstrual bleeding', 'Long menstrual periods', 'Infertility', 'Vaginal discharge', 'Involuntary urination', 'Cramps and spasms']"
76,Chalazion,"['Mass on eyelid', 'Pain in eye', 'Swollen eye', 'Eye redness', 'Eyelid swelling', 'Eyelid lesion or rash', 'Diminished vision', 'Itchiness of eye', 'Skin growth', 'Foreign body sensation in eye', 'Lacrimation']"
77,Ovarian torsion,"['Sharp abdominal pain', 'Lower abdominal pain', 'Pelvic pain', 'Ache all over', 'Groin mass', 'Unwanted hair', 'Knee swelling', 'Pain or soreness of breast', 'Skin swelling', 'Infertility', 'Acne or pimples']"
78,Hypertensive retinopathy,"['Diminished vision', 'Spots or clouds in vision', 'Pain in eye', 'Itchiness of eye', 'Foreign body sensation in eye', 'Mass on eyelid', 'Eye redness', 'Blindness', 'Pus draining from ear', 'Lacrimation', 'Irregular appearing nails']"
79,Candidiasis ,"['Vaginal itching', 'Vaginal discharge', 'Painful urination', 'Sharp abdominal pain', 'Vaginal pain', 'Vaginal redness', 'Itching of skin', 'Problems during pregnancy', 'Suprapubic pain', 'Pelvic pain', 'Lower abdominal pain', 'Vulvar irritation']"
80,Mastoiditis,"['Ear pain', 'Dizziness', 'Redness in ear', 'Fluid in ear', 'Cough', 'Headache', 'Diminished hearing', 'Fever', 'Plugged feeling in ear', 'Ringing in ear', 'Nasal congestion', 'Facial pain']"
81,Lung contusion,"['Back pain', 'Sharp chest pain', 'Ache all over', 'Rib pain', 'Elbow pain', 'Hip pain', 'Hurts to breath', 'Fluid retention', 'Dizziness', 'Headache', 'Shoulder pain', 'Shortness of breath']"
82,Hypertrophic obstructive cardiomyopathy (HOCM),"['Sharp chest pain', 'Difficulty breathing', 'Anxiety and nervousness', 'Chest tightness', 'Leg swelling', 'Joint pain', 'Cough', 'Emotional symptoms', 'Elbow cramps or spasms', 'Nailbiting', 'Muscle swelling', 'Elbow weakness']"
83,Onychocryptosis,"['Irregular appearing nails', 'Foot or toe pain', 'Skin on leg or foot looks infected', 'Foot or toe swelling', 'Abnormal appearing skin', 'Skin dryness, peeling, scaliness, or roughness', 'Skin growth', 'Skin on arm or hand looks infected', 'Swollen eye', 'Neck swelling', 'Skin irritation', 'Itchy scalp']"
84,Pulmonary eosinophilia,"['Cough', 'Shortness of breath', 'Fever', 'Nasal congestion', 'Sharp chest pain', 'Difficulty breathing', 'Dizziness', 'Ache all over', 'Nosebleed', 'Redness in ear', 'Fluid retention', 'Paresthesia']"
86,Corneal disorder,"['Diminished vision', 'Pain in eye', 'Eye redness', 'Spots or clouds in vision', 'Foreign body sensation in eye', 'Lacrimation', 'Itchiness of eye', 'White discharge from eye', 'Swollen eye', 'Double vision', 'Eyelid lesion or rash']"
87,Bezoars,"['Difficulty in swallowing', 'Vomiting', 'Sharp abdominal pain', 'Regurgitation', 'Vomiting blood', 'Throat feels tight', 'Lump in throat', 'Recent weight loss', 'Cramps and spasms', 'Incontinence of stool', 'Foot or toe cramps or spasms']"
88,Endophthalmitis,"['Pain in eye', 'Eye redness', 'Swollen eye', 'Diminished vision', 'Itchiness of eye', 'Mass on eyelid', 'Paresthesia', 'Painful sinuses', 'Skin lesion', 'Foot or toe pain', 'Lacrimation']"
89,Malabsorption ,"['Diarrhea', 'Vomiting', 'Sharp abdominal pain', 'Allergic reaction', 'Irritable infant', 'Infant feeding problem', 'Cough', 'Constipation', 'Nasal congestion', 'Infant spitting up', 'Feeling ill', 'Flatulence']"
90,Plumbism,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']"
91,Verruca vulgaris,"['Warts', 'Skin lesion', 'Skin growth', 'Abnormal appearing skin', 'Skin moles', 'Acne or pimples', 'Bumps on penis', 'Skin swelling', 'Skin dryness, peeling, scaliness, or roughness', 'Lip swelling', 'Too little hair', 'Foot or toe lump or mass']"
92,Hyperhidrosis,"['Sweating', 'Warts', 'Acne or pimples', 'Fever', 'Skin rash', 'Redness in ear', 'Headache', 'Diminished vision', 'Sharp abdominal pain', 'Cough', 'Vomiting', 'Cramps and spasms']"
93,Stroke,"['Focal weakness', 'Dizziness', 'Headache', 'Loss of sensation', 'Weakness', 'Problems with movement', 'Slurring words', 'Difficulty speaking', 'Depressive or psychotic symptoms', 'Seizures', 'Abnormal involuntary movements', 'Disturbance of memory']"
94,Pilonidal cyst,"['Skin growth', 'Lower body pain', 'Ache all over', 'Skin swelling', 'Pain of the anus', 'Bones are painful', 'Back mass or lump', 'Mass or swelling around the anus', 'Pelvic pain', 'Fluid retention', 'Low back swelling', 'Irregular appearing scalp']"
96,Normal pressure hydrocephalus,"['Problems with movement', 'Headache', 'Disturbance of memory', 'Depressive or psychotic symptoms', 'Dizziness', 'Palpitations', 'Difficulty speaking', 'Involuntary urination', 'Fatigue', 'Hip lump or mass', 'Blood in urine', 'Drainage in throat']"
97,Alopecia,"['Too little hair', 'Irregular appearing scalp', 'Skin rash', 'Skin swelling', 'Abnormal appearing skin', 'Dry or flaky scalp', 'Acne or pimples', 'Skin dryness, peeling, scaliness, or roughness', 'Itchy scalp', 'Itching of skin', 'Feeling ill', 'Skin growth']"
98,Hashimoto thyroiditis,"['Weight gain', 'Constipation', 'Heavy menstrual flow', 'Premenstrual tension or irritability', 'Warts', 'Difficulty in swallowing', 'Too little hair', 'Palpitations', 'Heartburn', 'Suprapubic pain', 'Abnormal involuntary movements', 'Feeling hot']"
100,Nonalcoholic liver disease (NASH),"['Sharp abdominal pain', 'Upper abdominal pain', 'Nausea', 'Dizziness', 'Diarrhea', 'Weight gain', 'Mouth ulcer', 'Chills', 'Paresthesia', 'Joint pain', 'Nosebleed', 'Regurgitation']"
101,Hemarthrosis,"['Knee pain', 'Knee swelling', 'Frequent urination', 'Shoulder pain', 'Ankle swelling', 'Knee lump or mass', 'Abnormal appearing skin', 'Ache all over', 'Knee stiffness or tightness', 'Problems with movement', 'Elbow cramps or spasms', 'Elbow weakness']"
102,Pelvic organ prolapse,"['Involuntary urination', 'Frequent urination', 'Retention of urine', 'Suprapubic pain', 'Vaginal pain', 'Pelvic pain', 'Blood in urine', 'Pelvic pressure', 'Vaginal discharge', 'Excessive urination at night', 'Intermenstrual bleeding']"
104,Coagulation disorder,"['Leg pain', 'Leg swelling', 'Nosebleed', 'Blood in urine', 'Eye redness', 'Melena', 'Lymphedema', 'Hemoptysis', 'Leg cramps or spasms', 'Early or late onset of menopause', 'Knee swelling', 'Vaginal pain']"
201,Intracranial hemorrhage,"['Headache', 'Depressive or psychotic symptoms', 'Disturbance of memory', 'Problems with movement', 'Dizziness', 'Seizures', 'Weakness', 'Vomiting', 'Joint pain', 'Abnormal involuntary movements', 'Diminished vision', 'Difficulty speaking']"
202,Hyperkalemia,"['Shortness of breath', 'Weakness', 'Nausea', 'Vomiting', 'Dizziness', 'Sharp chest pain', 'Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Feeling ill', 'Decreased heart rate', 'Decreased appetite', 'Difficulty in swallowing']"
203,Keratitis ,"['Pain in eye', 'Eye redness', 'Diminished vision', 'Foreign body sensation in eye', 'Lacrimation', 'Eye burns or stings', 'Itchiness of eye', 'Spots or clouds in vision', 'Swollen eye', 'Lip swelling', 'Itchy eyelid']"
204,Abscess of the lung,"['Cough', 'Sharp chest pain', 'Shortness of breath', 'Hemoptysis', 'Depressive or psychotic symptoms', 'Back pain', 'Drainage in throat', 'Vomiting', 'Headache', 'Itchy eyelid', 'Wrist weakness', 'Excessive growth']"
205,Dengue fever,"['Sore throat', 'Fever', 'Shoulder cramps or spasms', 'Ankle pain', 'Wrist pain', 'Joint stiffness or tightness', 'Excessive anger', 'Pain or soreness of breast', 'Knee lump or mass', 'Facial pain', 'Pain in eye']"
206,Chronic sinusitis,"['Cough', 'Nasal congestion', 'Headache', 'Sore throat', 'Fever', 'Frontal headache', 'Coryza', 'Ear pain', 'Painful sinuses', 'Sinus congestion', 'Facial pain', 'Congestion in chest']"
207,Cholesteatoma,"['Ear pain', 'Diminished hearing', 'Fluid in ear', 'Redness in ear', 'Nasal congestion', 'Mass on ear', 'Plugged feeling in ear', 'Bleeding from ear', 'Skin growth', 'Pus draining from ear', 'Allergic reaction', 'Muscle swelling']"
208,Volvulus,"['Sharp abdominal pain', 'Vomiting', 'Constipation', 'Burning abdominal pain', 'Peripheral edema', 'Back pain', 'Nausea', 'Depressive or psychotic symptoms', 'Diarrhea', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth']"
210,Analgesic Poisoning,"['Depressive or psychotic symptoms', 'Depression', 'Vomiting', 'Abusing alcohol', 'Problems during pregnancy', 'Low self-esteem', 'Skin swelling', 'Heartburn', 'Hostile behavior', 'Throat irritation', 'Excessive anger', 'Blood in stool']"
211,Atrial fibrillation,"['Shortness of breath', 'Sharp chest pain', 'Palpitations', 'Dizziness', 'Irregular heartbeat', 'Fatigue', 'Increased heart rate', 'Decreased heart rate']"
212,Pinworm infection,"['Itching of the anus', 'Sharp abdominal pain', 'Pain of the anus', 'Skin rash', 'Constipation', 'Itching of skin', 'Painful urination', 'Neck mass', 'Retention of urine', 'Ankle pain', 'Burning abdominal pain', 'Coryza']"
215,Achalasia,"['Sharp chest pain', 'Difficulty in swallowing', 'Back pain', 'Cough', 'Regurgitation', 'Hurts to breath', 'Throat feels tight', 'Rib pain', 'Lump in throat', 'Cramps and spasms', 'Hoarse voice', 'Chest tightness']"
216,Conductive hearing loss,"['Diminished hearing', 'Ear pain', 'Plugged feeling in ear', 'Redness in ear', 'Ringing in ear', 'Dizziness', 'Fluid in ear', 'Difficulty speaking', 'Lack of growth', 'Hoarse voice', 'Swollen or red tonsils']"
217,Abdominal hernia,"['Sharp abdominal pain', 'Groin mass', 'Ache all over', 'Upper abdominal pain', 'Groin pain', 'Lower abdominal pain', 'Irregular belly button', 'Swollen abdomen', 'Regurgitation', 'Swelling of scrotum']"
218,Cerebral palsy,"['Seizures', 'Problems with movement', 'Cramps and spasms', 'Difficulty eating', 'Lack of growth', 'Leg cramps or spasms', 'Back cramps or spasms', 'Blindness', 'Infant feeding problem', 'Swollen tongue', 'Lip sore', 'Tongue lesions']"
219,Marijuana abuse,"['Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Hostile behavior', 'Delusions or hallucinations', 'Excessive anger', 'Temper problems', 'Fears and phobias', 'Low self-esteem', 'Difficulty speaking']"
221,Obesity,"['Weight gain', 'Abnormal breathing sounds', 'Sleepiness', 'Apnea', 'Excessive appetite']"
222,Indigestion,"['Sharp abdominal pain', 'Burning abdominal pain', 'Nausea', 'Upper abdominal pain', 'Heartburn', 'Vomiting', 'Sharp chest pain', 'Diarrhea', 'Constipation', 'Regurgitation', 'Stomach bloating', 'Decreased appetite']"
223,Bursitis,"['Shoulder pain', 'Knee pain', 'Elbow pain', 'Arm pain', 'Elbow swelling', 'Leg pain', 'Hip pain', 'Knee swelling', 'Shoulder stiffness or tightness', 'Leg swelling', 'Arm stiffness or tightness', 'Arm swelling']"
224,Esophageal cancer,"['Fatigue', 'Ache all over', 'Weakness', 'Sharp abdominal pain', 'Vomiting', 'Shortness of breath', 'Difficulty in swallowing', 'Decreased appetite', 'Hoarse voice', 'Mouth pain', 'Changes in stool appearance', 'Stomach bloating']"
225,Pulmonary edema,"['Shortness of breath', 'Sharp chest pain', 'Cough', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Chest tightness', 'Congestion in chest', 'Weakness', 'Fluid retention', 'Leg swelling', 'Decreased heart rate']"
226,Juvenile idiopathic arthritis,"['Knee pain', 'Joint pain', 'Back pain', 'Ankle pain', 'Hand or finger pain', 'Hand or finger swelling', 'Problems with movement', 'Bones are painful', 'Wrist swelling', 'Ankle swelling', 'Pelvic pain', 'Knee swelling']"
227,Actinic keratosis,"['Abnormal appearing skin', 'Skin lesion', 'Skin dryness, peeling, scaliness, or roughness', 'Skin growth', 'Skin rash', 'Irregular appearing scalp', 'Skin moles', 'Skin swelling', 'Itching of skin', 'Skin irritation', 'Warts']"
228,Acute otitis media,"['Ear pain', 'Fever', 'Cough', 'Nasal congestion', 'Redness in ear', 'Fluid in ear', 'Sore throat', 'Coryza', 'Pulling at ears', 'Vomiting', 'Diminished hearing', 'Plugged feeling in ear']"
229,Astigmatism,"['Diminished vision', 'Lacrimation', 'Spots or clouds in vision', 'Eye redness', 'Itchiness of eye', 'Pain in eye', 'Foreign body sensation in eye', 'Eye deviation', 'Eye moves abnormally', 'Cross-eyed', 'Double vision']"
230,Tuberous sclerosis,"['Seizures', 'Cramps and spasms', 'Delusions or hallucinations', 'Shoulder pain', 'Depressive or psychotic symptoms', 'Difficulty speaking', 'Elbow weakness', 'Underweight', 'Excessive growth', 'Low back weakness', 'Feeling hot and cold']"
231,Empyema,"['Cough', 'Shortness of breath', 'Hurts to breath', 'Back pain', 'Sharp chest pain', 'Coryza', 'Skin rash', 'Leg pain', 'Skin lesion', 'Sharp abdominal pain', 'Difficulty breathing', 'Abnormal appearing skin']"
233,Neonatal jaundice,"['Jaundice', 'Irritable infant', 'Changes in stool appearance', 'Irregular belly button', 'Fluid in ear', 'Recent weight loss', 'Drainage in throat', 'Infant spitting up', 'Lack of growth', 'Irregular appearing scalp', 'Flatulence']"
234,Chronic obstructive pulmonary disease (COPD),"['Cough', 'Shortness of breath', 'Nasal congestion', 'Fever', 'Sore throat', 'Difficulty breathing', 'Sharp chest pain', 'Coryza', 'Wheezing', 'Coughing up sputum', 'Congestion in chest', 'Chest tightness']"
235,Dislocation of the elbow,"['Arm pain', 'Elbow pain', 'Arm stiffness or tightness', 'Depression', 'Wrist pain', 'Arm weakness', 'Elbow swelling', 'Arm swelling']"
236,Spondylosis,"['Low back pain', 'Back pain', 'Neck pain', 'Leg pain', 'Hip pain', 'Shoulder pain', 'Arm pain', 'Loss of sensation', 'Ache all over', 'Knee pain', 'Lower body pain', 'Paresthesia']"
237,Herpangina,"['Fever', 'Skin rash', 'Sore throat', 'Vomiting', 'Mouth ulcer', 'Decreased appetite', 'Cough', 'Insomnia', 'Abnormal appearing skin', 'Tongue lesions', 'Swollen lymph nodes', 'Redness in ear']"
239,Tricyclic antidepressant overdose,"['Depression', 'Disturbance of memory', 'Drug abuse', 'Headache', 'Sleepiness', 'Abusing alcohol', 'Allergic reaction', 'Weakness', 'Fainting', 'Muscle pain', 'Emotional symptoms', 'Back weakness']"
241,Deep vein thrombosis (DVT),"['Leg pain', 'Leg swelling', 'Abnormal appearing skin', 'Peripheral edema', 'Arm swelling', 'Paresthesia', 'Foot or toe swelling', 'Ankle swelling', 'Leg stiffness or tightness', 'Leg cramps or spasms', 'Leg lump or mass', 'Disturbance of smell or taste']"
242,Protein deficiency,"['Weakness', 'Nausea', 'Vomiting', 'Decreased appetite', 'Ache all over', 'Fatigue', 'Depression', 'Dizziness', 'Shortness of breath', 'Sharp abdominal pain', 'Constipation']"
243,Myoclonus,"['Abnormal involuntary movements', 'Seizures', 'Eye moves abnormally', 'Problems with movement', 'Fainting', 'Drainage in throat', 'Sleepiness', 'Arm cramps or spasms', 'Disturbance of memory', 'Insomnia', 'Loss of sensation', 'Muscle swelling']"
244,Bone spur of the calcaneous,"['Foot or toe pain', 'Ankle pain', 'Foot or toe swelling', 'Leg pain', 'Paresthesia', 'Problems with movement', 'Joint pain', 'Muscle pain', 'Elbow pain', 'Heartburn', 'Ankle swelling']"
245,Von Willebrand disease,"['Nosebleed', 'Fatigue', 'Long menstrual periods', 'Wrist pain', 'Blood in stool', 'Arm pain', 'Heavy menstrual flow', 'Burning abdominal pain', 'Muscle swelling', 'Low back weakness']"
